"","x"
"1","ERBB4"
"2","NRXN3"
"3","CDC20B"
"4","NXPH1"
"5","HTR2C"
"6","NPAS3"
"7","SPP1"
"8","ADARB2"
"9","LINC01965"
"10","DPP10"
"11","AL589740.1"
"12","LRP1B"
"13","TAFA1"
"14","SOX2-OT"
"15","LRRC4C"
"16","CDH18"
"17","KCNIP4"
"18","CNTNAP2"
"19","TENM2"
"20","ZNF804B"
"21","AC109466.1"
"22","OPCML"
"23","SOX6"
"24","PCDH15"
"25","CSMD1"
"26","BCAS1"
"27","IQCJ-SCHIP1"
"28","DLX6-AS1"
"29","IL1RAPL2"
"30","DACH1"
"31","XIST"
"32","PDZRN3"
"33","GLI3"
"34","SORCS1"
"35","NRG1"
"36","COL1A1"
"37","MIR924HG"
"38","GALNTL6"
"39","EPHA6"
"40","TMEM132D"
"41","SAMSN1"
"42","UNC5D"
"43","ADAMTSL1"
"44","SGCZ"
"45","LINC02770"
"46","CCL4L2"
"47","AC092957.1"
"48","KCNQ5"
"49","CCL4"
"50","NKAIN2"
"51","ADGRV1"
"52","RGS6"
"53","LRMDA"
"54","RALYL"
"55","LRRTM4"
"56","GRIK2"
"57","HS3ST4"
"58","GRID2"
"59","MDGA2"
"60","LHFPL3"
"61","CCNO"
"62","APBB1IP"
"63","PARD3B"
"64","LINGO2"
"65","KLHL1"
"66","AC007402.1"
"67","DIAPH3"
"68","PCDH9"
"69","LNCAROD"
"70","KIAA1217"
"71","PTPRT"
"72","RORA"
"73","FBXL7"
"74","NR3C2"
"75","TRPM3"
"76","HS6ST3"
"77","SATB2"
"78","DOCK8"
"79","PBX3"
"80","AC103409.1"
"81","CREB5"
"82","PDE1A"
"83","XACT"
"84","CNTN5"
"85","PTPRK"
"86","PLXDC2"
"87","PDGFD"
"88","BMP5"
"89","EPHA3"
"90","COL25A1"
"91","FLT1"
"92","AC004052.1"
"93","GPC5"
"94","TNC"
"95","AC008415.1"
"96","GLIS3"
"97","GRM7"
"98","ABI3BP"
"99","LTBP1"
"100","RUNX1T1"
"101","NEGR1"
"102","AC069277.1"
"103","CNTN4"
"104","FOXP2"
"105","MGAT4C"
"106","SNTG1"
"107","LUZP2"
"108","DCC"
"109","COL6A3"
"110","ZBTB20"
"111","PTPRM"
"112","PKN2-AS1"
"113","PDGFRA"
"114","SLIT3"
"115","AL353784.1"
"116","CDH12"
"117","NCAM2"
"118","ZFPM2"
"119","AGBL1"
"120","EBF1"
"121","RBFOX1"
"122","FYB1"
"123","CNTNAP5"
"124","DEC1"
"125","SEMA5A"
"126","GPC6"
"127","THRB"
"128","PTN"
"129","TRHDE"
"130","KCND2"
"131","BNC2"
"132","LINC02315"
"133","SHROOM3"
"134","CFH"
"135","AL157944.1"
"136","LINC00278"
"137","RBMS3"
"138","RELN"
"139","ROBO1"
"140","CSMD3"
"141","ST18"
"142","LINC02147"
"143","TOP2A"
"144","EEPD1"
"145","SLC1A3"
"146","SLC35F3"
"147","COL3A1"
"148","SGCD"
"149","TBX18"
"150","NR2F2-AS1"
"151","ZNF385B"
"152","C8orf34"
"153","PRKG1"
"154","ADGB"
"155","ZEB1"
"156","UNC5C"
"157","THSD7B"
"158","TLE4"
"159","CLSTN2"
"160","UNC13C"
"161","FGF12"
"162","LINC00609"
"163","CRABP1"
"164","AC011586.2"
"165","LINC01435"
"166","ZFHX4"
"167","GABRG3"
"168","KIF26B"
"169","FGF14"
"170","SPOCK3"
"171","PEX5L"
"172","MEF2C"
"173","LSAMP"
"174","LINC02506"
"175","PDE3A"
"176","PCDH7"
"177","KCTD8"
"178","RYR2"
"179","CX3CR1"
"180","IL1RAPL1"
"181","BRINP3"
"182","HPSE2"
"183","SDK1"
"184","MACROD2"
"185","SAMD4A"
"186","TAFA2"
"187","SEMA3E"
"188","TMTC2"
"189","EFNA5"
"190","CCN1"
"191","EGFR"
"192","AP002989.1"
"193","HSPA1A"
"194","APOLD1"
"195","CENPE"
"196","CA10"
"197","CDH9"
"198","COL11A1"
"199","CCK"
"200","TOX"
"201","ZNF385D"
"202","BX284613.2"
"203","FBN2"
"204","ASPM"
"205","KAZN"
"206","PCDH11Y"
"207","AC011287.1"
"208","ASTN2"
"209","LINC01515"
"210","BRIP1"
"211","ARPP21"
"212","PDK4"
"213","NXPH2"
"214","RMST"
"215","CPNE4"
"216","ZNF536"
"217","LINC02476"
"218","GRM5"
"219","TCTEX1D1"
"220","AC117461.1"
"221","KCNC2"
"222","MAST4"
"223","NDNF"
"224","NELL1"
"225","CUX2"
"226","AC008591.1"
"227","CDH20"
"228","ARHGAP29"
"229","PTCHD1-AS"
"230","CENPF"
"231","FLI1"
"232","BMPR1B"
"233","NKAIN3"
"234","AL136456.1"
"235","MOXD1"
"236","DPY19L1"
"237","NFIA"
"238","SRGN"
"239","CCL3"
"240","FRMPD4"
"241","QKI"
"242","AC068308.1"
"243","AC112206.2"
"244","TENM3"
"245","CACNA2D3"
"246","KCTD16"
"247","DTHD1"
"248","OBI1-AS1"
"249","PRR16"
"250","LINC01876"
"251","DSCAM"
"252","POU6F2"
"253","MIR99AHG"
"254","DOK5"
"255","AC092691.1"
"256","ALCAM"
"257","CHSY3"
"258","MAML2"
"259","DGKB"
"260","AC125613.1"
"261","NRP1"
"262","CCBE1"
"263","SORCS3"
"264","ELMO1"
"265","IGFBP7"
"266","NTS"
"267","PTGDS"
"268","SATB1-AS1"
"269","HES1"
"270","OCA2"
"271","NTNG1"
"272","SLCO1C1"
"273","MERTK"
"274","DACH2"
"275","LMO3"
"276","TSHZ2"
"277","PDZRN4"
"278","HSPA1B"
"279","SAMD5"
"280","AC007319.1"
"281","AC004852.2"
"282","AC114689.3"
"283","CPNE8"
"284","ADAM28"
"285","XKR4"
"286","INPP4B"
"287","MCTP1"
"288","DAB1"
"289","C5orf17"
"290","EMP1"
"291","ABCG2"
"292","LINC01821"
"293","KCNH5"
"294","TMEFF2"
"295","CDH13"
"296","COL4A5"
"297","DLGAP2"
"298","SST"
"299","SLC4A4"
"300","IKZF1"
"301","ECT2"
"302","SYK"
"303","AL078602.1"
"304","AC131571.1"
"305","PLXNA4"
"306","FAM160A1"
"307","EYA1"
"308","KIRREL3"
"309","GAD1"
"310","AC097518.2"
"311","MSC-AS1"
"312","HCRTR2"
"313","AC008056.1"
"314","RIT2"
"315","CFAP47"
"316","CNTNAP4"
"317","RSPH1"
"318","KHDRBS3"
"319","AC131944.1"
"320","KIF14"
"321","LINC00470"
"322","RAD51B"
"323","KCNMB2"
"324","AC096570.1"
"325","GRM8"
"326","ITIH5"
"327","DLC1"
"328","LINC02388"
"329","MECOM"
"330","PAM"
"331","EML6"
"332","CHRM3"
"333","NDST4"
"334","ITPR2"
"335","LINC01446"
"336","GRIA4"
"337","LMNTD1"
"338","FIGN"
"339","IQGAP2"
"340","CFAP52"
"341","SLC9A9"
"342","FGL2"
"343","ASIC2"
"344","SERPINE1"
"345","FHIT"
"346","KIF18A"
"347","GULP1"
"348","COLEC12"
"349","LYVE1"
"350","AC002460.2"
"351","ADAMTS6"
"352","TLL1"
"353","THSD7A"
"354","AL033504.1"
"355","CADPS2"
"356","AL162493.1"
"357","SEMA3C"
"358","SLC35F4"
"359","APOE"
"360","PARD3"
"361","NWD2"
"362","TMTC1"
"363","MEIS2"
"364","AC016152.1"
"365","SHISA6"
"366","AL110292.1"
"367","CFAP299"
"368","LINC01170"
"369","MKI67"
"370","LINC00276"
"371","TPX2"
"372","DOK6"
"373","LINC01748"
"374","PREX2"
"375","RIMS2"
"376","SULF1"
"377","PRICKLE2"
"378","FOXP1"
"379","ATP8B4"
"380","STARD13"
"381","MAGI1"
"382","AC012409.2"
"383","ID4"
"384","AL606923.2"
"385","LHFPL6"
"386","MLIP"
"387","SLC38A11"
"388","MOB3B"
"389","CDH8"
"390","LDB2"
"391","PTCHD4"
"392","AC108734.4"
"393","KLHL32"
"394","PCDH11X"
"395","NRG3"
"396","NLGN1"
"397","VIM"
"398","AL357375.1"
"399","SLCO1A2"
"400","GRIN2A"
"401","PDE7B"
"402","PDE1C"
"403","KHDRBS2"
"404","HSPB1"
"405","NETO1"
"406","SGO1-AS1"
"407","CDK6"
"408","RRM2"
"409","SLIT2"
"410","CHST9"
"411","LINC02055"
"412","GALNT13"
"413","DLEU2"
"414","AL589693.1"
"415","RXFP1"
"416","DNAAF1"
"417","LINC01322"
"418","NEBL"
"419","AL590814.1"
"420","PRSS12"
"421","GRIN3A"
"422","SYNPR"
"423","HS6ST2"
"424","CRH"
"425","RASGEF1B"
"426","PLS3"
"427","ADAMTSL3"
"428","MIR4300HG"
"429","CNTN3"
"430","AC009315.1"
"431","SOX18"
"432","STK32B"
"433","LRFN5"
"434","SLC24A2"
"435","KNL1"
"436","AQP4"
"437","GRIK1"
"438","PROX1"
"439","MMS22L"
"440","CCDC85A"
"441","AC117464.1"
"442","ADAMTS3"
"443","AC020687.1"
"444","TENM3-AS1"
"445","AC104664.1"
"446","AC020637.1"
"447","ANKFN1"
"448","LINC01088"
"449","TMEM132B"
"450","LINC01117"
"451","COL1A2"
"452","OLFM3"
"453","PCSK5"
"454","CRYAB"
"455","SNTG2"
"456","ROBO2"
"457","AC110023.1"
"458","HES5"
"459","DPYD"
"460","LINC02197"
"461","KIF11"
"462","NTRK2"
"463","MED12L"
"464","CCDC175"
"465","AL445250.1"
"466","PIF1"
"467","SMOC1"
"468","BUB1"
"469","FAT3"
"470","PLCE1"
"471","FSTL5"
"472","LINC01478"
"473","PID1"
"474","BCL11B"
"475","AC022433.1"
"476","ZFPM2-AS1"
"477","KCNMB2-AS1"
"478","DLGAP5"
